,input,output
269,"['дальнейший', 'наступление', 'в', 'швабия', 'прийтись', 'приостановить', ',', 'так', 'как', 'внимание', 'ришельё', 'отвлечь', 'вспыхнувший', 'в', 'нормандия', 'восстание', 'босоногий', '.']","[['в', 'нормандия', 'вспыхнуть', 'восстание', 'и', 'наступление', 'в', 'швабия', 'быть', 'остановленный'], ['дальнейший', 'наступление', 'в', 'швабия', 'прийтись', 'приостановить', ',', 'так', 'как', 'в', 'нормандия', 'произойти', 'восстание', 'босоногий', '.'], ['наступление', 'в', 'швабия', 'приостановить', ',', 'внимание', 'ришельё', 'заинтересовать', 'восстание', 'босоногий', 'в', 'нормандия', '.']]"
270,"['дания', 'являться', 'один', 'из', 'мировой', 'лидер', 'в', 'использование', 'возобновляемый', 'источник', 'энергия', ',', 'в', 'частность', 'энергия', 'ветер', '.']","[['энергия', 'ветер', ',', 'ключевой', 'отрасль', 'для', 'получение', 'энергия', '.'], ['дания', 'относиться', 'к', 'мировой', 'лидер', 'по', 'возобновляемый', 'источник', 'энергия', '.'], ['дания', 'являться', 'мировой', 'лидер', 'в', 'использование', 'природный', 'источник', 'энергия', ',', 'в', 'частность', 'энергия', 'ветер', '.'], ['энергетический', 'ветровый', 'установка', '-', 'визитный', 'карточка', 'дания', ',', 'который', 'удерживать', 'мировой', 'лидерство', 'по', 'производство', 'альтернативный', 'вид', 'энергия', '.'], ['дания', 'один', 'из', 'мировой', 'лидер', 'использующий', 'возобновляемый', 'источник', 'энергия', ',', 'в', 'частность', 'ветер', '.']]"
271,"['два', 'из', 'три', 'созданный', 'в', 'рамка', 'конференция', 'группа', '(', 'breakout', 'groups', ')', 'рекомендовать', 'исключить', 'синдром', 'аспергер', 'как', 'самостоятельный', 'диагноз', '.']","[['синдром', 'аспергер', 'необходимый', 'исключать', 'как', 'самостоятельный', 'диагноз', '.'], ['на', 'конференция', 'два', 'группа', 'рекомендовать', 'не', 'считать', 'синдром', 'аспергер', 'заболевание', '.'], ['два', 'из', 'три', 'созданный', 'группа', 'порекомендовать', 'не', 'рассматривать', 'синдром', 'аспергер', 'как', 'самостоятельный', 'диагноз'], ['два', 'группа', 'посоветовать', 'не', 'рассматривать', 'синдром', 'аспергер', 'как', 'отдельный', 'болезнь', '.'], ['на', 'конференция', 'два', 'группа', 'решить', 'исключить', 'синдром', 'аспергер', 'как', 'отдельный', 'диагноз', '.']]"
272,"['действительно', ',', 'грязный', 'ночлежка', ',', 'заполненный', 'опустившийся', 'на', 'самый', 'дно', 'нищий', ',', 'отчаявшийся', 'человек', ',', 'послужить', 'для', 'толстый', 'зеркало', ',', 'отразивший', 'страшный', 'бедность', 'народ', '.']","[['ночлежка', 'с', 'нищий', 'показать', 'толстый', 'ужас', 'бедность', 'народ', '.'], ['место', ',', 'где', 'ночевать', 'нищий', ',', 'открыть', 'толстый', 'страшный', 'бедность', 'народ', '.'], ['грязный', 'ночлежка', 'быть', 'заполненный', 'нищий', 'человек', '.', 'там', 'толстый', 'наблюдать', 'за', 'бедный', 'народ', '.'], ['место', ',', 'где', 'ночевать', 'нищий', 'человек', ',', 'показать', 'писатель', 'страшный', 'бедность', 'народ']]"
273,"['действующий', 'президент', 'сауля', 'нийнистё', 'считать', 'практика', 'о', 'помилование', 'пережиток', 'прошлое', 'и', 'намеренный', 'полностью', 'передать', 'институт', 'помилование', 'судебный', 'орган', '.']","[['президент', 'сауля', 'нийнистё', 'передать', 'полномочие', 'помилование', 'суд', '.'], ['президент', 'сауля', 'нийнистё', 'передать', 'вопрос', 'о', 'помилование', 'судебный', 'орган', '.'], ['президент', 'сауля', 'нийнистё', 'намеренный', 'полностью', 'передать', 'судебный', 'орган', 'решение', 'вопрос', 'о', 'помилование', '.'], ['сауля', 'нийнистё-', 'действующий', 'президент', ',', 'намеренный', 'полностью', 'передать', 'институт', 'помилование', 'судебный', 'орган', ',', 'считать', 'практика', 'о', 'помилование', 'пережиток', 'прошлое', '.'], ['президент', 'сауля', 'нийнистё', 'хотеть', 'передать', 'институт', 'помилование', 'судебный', 'орган', ',', 'так', 'как', 'помилование', '-этый', 'прошлый', 'век', '.']]"
274,"['делегат', 'снова', 'собраться', 'в', 'таверна', 'рэль', ',', 'где', 'подтвердить', 'бойкот', 'английский', 'чай', 'и', 'постановить', 'созвать', 'конгресс', 'для', 'обсуждение', 'мера', 'сопротивление', '.']","[['делегат', 'снова', 'встретиться', 'в', 'таверна', 'рэль', 'и', 'подтвердить', 'бойкот', 'английский', 'чай', ',', 'а', 'также', 'решить', 'созвать', 'конгресс', 'на', 'тема', 'мера', 'сопротивление', '.'], ['делегат', ',', 'собраться', 'в', 'таверна', 'рэль', ',', 'бойкотировать', 'английский', 'чай', 'и', 'решить', 'созвать', 'конгресс', 'для', 'обсуждение', 'мера', 'сопротивление', '.'], ['участник', 'вновь', 'расположиться', 'в', 'таверна', 'рэль', ',', 'в', 'какой', 'место', 'доказать', 'игнорирование', 'британский', 'река', 'также', 'постановить', 'собрать', 'парламент', 'с', 'цель', 'обсуждение', 'грань', 'противодействие', '.'], ['делегат', 'поддержать', 'призыв', 'не', 'покупать', 'чай', 'из', 'англия', 'и', 'решить', 'собрать', 'конгресс', ',', 'чтобы', 'обсудить', 'другой', 'предложение', 'по', 'противодействие', 'метрополия', '.'], ['делегат', 'на', 'собрание', 'принять', 'решение', 'бойкотировать', 'английский', 'чай', ',', 'а', 'также', 'решить', 'обсудить', 'новый', 'способ', 'сопротивление', '.']]"
275,"['ребёнок', 'круг', 'не', 'пострадать', '—', 'марина', 'и', 'александр', 'спасть', 'и', 'даже', 'не', 'проснуться', ',', 'а', 'дмитрий', 'сидеть', 'в', 'наушник', '.']","[['ребёнок', 'круг', '-', 'марина', ',', 'александр', 'и', 'дмитрий', '-', 'не', 'пострадать', '.'], ['двое', 'ребёнок', 'круг', 'спасть', ',', 'третий', 'ничто', 'не', 'слышать', '.', 'никто', 'не', 'пострадать', '.'], ['ребёнок', 'круг', '-', 'марина', 'и', 'александр', 'спасть', ',', 'а', 'дмитрий', 'сидеть', 'в', 'наушник', 'и', 'по', 'это', 'не', 'пострадать', '.'], ['ребёнок', 'круг', 'марина', ',', 'александр', 'и', 'дмитрий', 'не', 'пострадать', ',', 'он', 'ничто', 'не', 'слышать', '.']]"
276,"['дифференцировать', 'данный', 'состояние', 'от', 'другой', 'инфекция', 'позволять', 'отсутствие', 'воспалительный', 'изменение', 'в', 'анализ', 'кровь', 'и', 'наличие', 'регионарный', 'лимфаденит', '.']","[['отсутствие', 'воспалительный', 'изменение', 'в', 'анализ', 'кровь', 'и', 'наличие', 'регионарный', 'лимфаденит', 'позволять', 'дифференцировать', 'данный', 'состояние', 'от', 'другой', 'инфекция', '.'], ['понять', ',', 'что', 'это', 'другой', 'состояние', 'помогать', 'отсутствие', 'воспаление', 'и', 'подтверждение', 'регионарный', 'лимфаденит', '.'], ['медик', 'знать', ',', 'как', 'отличить', 'данный', 'инфекция', 'от', 'другой', '.'], ['разграничить', 'это', 'положение', 'с', 'иной', 'инфекция', 'давать', 'возможность', 'недостаток', 'воспалительный', 'перемена', 'в', 'рассмотрение', 'месячные', 'также', 'присутствие', 'регионарный', 'лимфаденит', '.'], ['переть', 'это', 'состояние', 'нет', 'воспалительный', 'явление', 'в', 'анализ', 'мочь', '.']]"
277,"['для', 'вольнорожденный', 'римский', 'мужчина', 'быть', 'социально', 'приемлемый', 'желать', 'секс', 'как', 'с', 'женский', ',', 'так', 'и', 'с', 'мужской', 'партнёр', '.']","[['для', 'рождённый', 'вольный', 'в', 'рим', 'мужчина', 'секс', 'разрешалсч', 'и', 'с', 'женщина', 'и', 'с', 'мужчина', '.'], ['вольнорожденный', 'римлянин', 'мочь', 'желать', 'секс', 'как', 'с', 'женщина', ',', 'так', 'и', 'мужчина', '.'], ['для', 'римский', 'мужчина', 'быть', 'нормально', 'желать', 'секс', 'как', 'с', 'женщина', ',', 'так', 'и', 'с', 'мужчина', '.'], ['в', 'древний', 'рим', 'быть', 'нормальный', 'для', 'свободный', 'мужичина', 'иметь', 'половой', 'связь', 'как', 'женщина', 'так', 'и', 'с', 'мужчина', '.'], ['мужчина', ',', 'который', 'родиться', 'в', 'рим', 'и', 'не', 'быть', 'раб', 'мочь', 'любить', 'и', 'женщина', 'и', 'мужчина']]"
278,"['для', 'драматический', 'произведение', 'характерный', 'остро-конфликтный', 'ситуация', ',', 'властно', 'побуждающий', 'персонаж', 'к', 'словесно-физический', 'действие', '.']","[['в', 'драматический', 'произведение', 'всегда', 'быть', 'конфликт', 'и', 'даже', 'оскорбление', 'другой', '.'], ['в', 'драматический', 'произведение', 'между', 'персонаж', 'почти', 'всегда', 'быть', 'конфликт', 'и', 'поэтому', 'он', 'мочь', 'драться', 'или', 'ругаться', '.']]"
279,"['для', 'налаживание', 'отношение', 'между', 'два', 'блок', 'советский', 'союз', 'выступить', 'с', 'рядом', 'мирный', 'инициатива', ',', 'главный', 'образ', ',', 'пропагандистский', 'характер', '.']","[['советский', 'союз', 'выступить', 'с', 'мирный', 'инициатива', 'для', 'тот', ',', 'чтобы', 'наладить', 'отношение', 'между', 'два', 'блок', 'страна', '.'], ['советский', 'союз', 'предложить', 'ряд', 'мирный', 'инициатива', ',', 'чтобы', 'наладить', 'отношение', 'между', 'два', 'блок', '.'], ['советский', 'союз', 'выступить', 'с', 'рядом', 'мирный', 'инициатива', ',', 'главный', 'образ', 'пропагандистский', 'характер', ',', 'чтобы', 'наладить', 'отношение', 'между', 'два', 'блок', '.']]"
280,"['для', 'создание', 'партнёрство', 'не', 'требоваться', 'никакой', 'документ', 'или', 'подача', 'документ', ',', 'и', 'без', 'соглашение', 'отношение', 'и', 'юридический', 'право', 'партнёр', 'быть', 'полностью', 'регулироваться', 'законодательство', 'юрисдикция', ',', 'в', 'который', 'расположенный', 'партнёрство', '.']","[['для', 'тот', 'что', 'стать', 'партнёр', 'не', 'нужный', 'никакой', 'документ', 'или', 'он', 'подача', ',', 'всё', 'отношение', 'партнёр', 'быть', 'регулироваться', 'закон', '.']]"
281,"['для', 'сравнение', ',', 'в', 'красный', 'карлик', 'давление', 'не', 'мочь', 'препятствовать', 'перемешивание', 'вещество', 'и', 'зона', 'конвекция', 'начинаться', 'сразу', 'от', 'ядро', '.']","[['вещество', ',', 'из', 'который', 'состоять', 'наш', 'солнце', ',', 'перемешиваться', 'всё', 'вместе', 'в', 'сам', 'середина', 'солнце', '.'], ['в', 'карликовый', 'звезда', 'давление', 'не', 'мешать', 'вещество', 'перемешиваться', ',', 'энергия', 'переходить', 'из', 'ядро', 'в', 'внешний', 'слой', '.'], ['давление', 'в', 'красный', 'карлик', 'не', 'мочь', 'мешать', 'перемешиваться', 'вещество', '.']]"
282,"['для', 'это', 'антибольшевистский', 'сила', 'на', 'подконтрольный', 'он', 'территория', 'бывший', 'российский', 'империя', 'пытаться', 'воссоздать', 'армия', 'и', 'аппарат', 'гражданский', 'управление', ',', 'восстановить', 'право', 'собственность', 'и', 'свобода', 'торговля', ',', 'мобилизовать', 'людской', 'и', 'хозяйственный', 'ресурс', 'с', 'цель', 'создать', 'массовый', 'и', 'хорошо', 'оснащённый', 'армия', ',', 'обеспечить', 'он', 'поддержка', 'со', 'сторона', 'большинство', 'население', 'и', 'свергнуть', 'власть', 'большевик', '.']","[['для', 'это', 'антибольшевистский', 'сила', 'на', 'территория', 'бывший', 'российский', 'империя', 'пытаться', 'воссоздать', 'гражданский', 'управление', ',', 'восстановить', 'право', 'собственность', 'и', 'свобода', 'торговля', ',', 'мобилизовать', 'ресурс', 'и', 'создать', 'оснащённый', 'армия', ',', 'для', 'свержение', 'власть', 'большевик', '.']]"
283,"['до', 'начало', 'весенний', 'наступление', 'оставаться', 'несколько', 'неделя', ',', 'и', 'можно', 'быть', 'надеяться', ',', 'что', 'патриотический', 'подъём', 'отвлечь', 'внимание', 'от', 'внутренний', 'раздор', '.']","[['до', 'начало', 'весенний', 'наступление', 'оставаться', 'несколько', 'неделя'], ['скоро', 'быть', 'весенний', 'наступление', '.', 'патриотизм', 'прекратить', 'всё', 'спора'], ['всё', 'ссора', 'скоро', 'кончиться', ',', 'потому', 'что', 'начаться', 'война', '.']]"
284,"['доказательство', 'влияние', 'витамин', 'd', 'на', 'респираторный', 'инфекция', 'у', 'ребёнок', 'в', 'возраст', 'до', 'пять', 'год', 'нет', '.']","[['не', 'доказанный', 'влияние', 'витамин', 'd', 'на', 'респираторный', 'инфекция', 'у', 'ребёнок'], ['витамин', 'd', 'на', 'респираторный', 'инфекция', 'у', 'ребёнок', 'в', 'возраст', 'до', 'пять', 'год', 'не', 'влиять', '.'], ['приём', 'витамин', 'd', 'ребёнок', 'до', '5', 'год', 'не', 'влиять', 'на', 'течение', 'респираторный', 'инфекция', '.'], ['употребление', 'витамин', 'd', 'не', 'влиять', 'на', 'заболеваемость', 'орви', 'у', 'малыш', '.'], ['пример', 'воздействие', 'витамин', 'd', 'на', 'респираторный', 'инфекция', 'у', 'ребята', 'в', 'возраст', 'до', '5', 'год', 'нет', '.']]"
285,"['документальный', 'источник', 'и', 'даже', 'сколь-либо', 'надёжный', 'письменный', 'свидетельство', ',', 'говорящий', 'о', 'жизнь', 'хюррем', 'до', 'поступление', 'в', 'гарем', ',', 'отсутствовать', '.']","[['информация', 'о', 'жизнь', 'херрем', 'до', 'появление', 'в', 'гарем', 'не', 'найденный', 'ни', 'в', 'один', 'источник']]"
286,"['домашний', 'дело', 'быть', 'расстроенный', ';', 'сам', 'гоголь', 'уже', 'не', 'быть', 'восторженный', 'юноша', ',', 'какой', 'оставить', 'родина', ':', 'жизненный', 'опыт', 'научить', 'он', 'вглядываться', 'глубокий', 'в', 'действительность', 'и', 'за', 'он', 'внешний', 'оболочка', 'видеть', 'он', 'часто', 'печальный', ',', 'даже', 'трагический', 'основа', '.']","[['гоголь', 'в', 'зрелый', 'возраст', 'уметь', 'вглядываться', 'в', 'действительность', 'и', 'различать', 'он', 'печальный', 'и', 'трагический', 'основа', '.'], ['домашний', 'дело', 'быть', 'отложенный', 'и', 'гоголь', 'уже', 'не', 'быть', 'тот', 'задорный', 'юноша', ',', 'когда', 'оставить', 'родина', '.', 'жизнь', 'научить', 'он', 'смотреть', 'глубокий', 'в', 'действительность', 'и', 'видеть', 'там', 'печальный', 'основа'], ['повзрослеть', 'гоголь', 'перестать', 'быть', 'восторженный', 'юноша', 'и', 'стать', 'видеть', 'печальный', 'и', 'трагический', 'основа', 'жизнь']]"
287,"['дорожка', 'след', 'у', 'волк', 'ровный', ',', 'и', 'образовать', 'почти', 'ровный', 'строчка', ',', 'а', 'у', 'собака', '—', 'извилистый', 'линия', '.']","[['след', 'волк', 'ровный', ',', 'а', 'у', 'собака', 'извилистый', '.'], ['след', 'собака', 'образовать', 'извилистый', 'линия', ',', 'а', 'у', 'волк', '-', 'почти', 'ровный', 'строчка']]"
288,"['достаточно', 'ощутимый', 'вливание', 'в', 'экономика', 'республика', 'являться', 'денежный', 'перевод', 'от', 'трудовой', 'мигрант', 'и', 'киргизстанец', ',', 'получивший', 'гражданство', 'другой', 'страна', '.']","[['довольно', 'больший', 'часть', 'бюджет', 'республика', 'составлять', 'перевод', 'от', 'мигрант', '.'], ['очень', 'существенный', 'вливание', 'в', 'экономика', 'страна', 'оказываться', 'денежный', 'перевод', 'от', 'трудовой', 'мигрант', 'и', 'киргизстанец', ',', 'у', 'который', 'гражданство', 'другой', 'страна', '.'], ['трудовой', 'мигрант', 'приносить', 'деньга', 'в', 'республика', '.'], ['влияние', 'на', 'экономика', 'оказывать', 'иностранный', 'инвестиция', '.'], ['трудовой', 'мигрант', 'и', 'киргизстанец', 'получивший', 'гражданство', 'другой', 'страна', 'являться', 'достаточно', 'ощутимый', 'вливание', 'в', 'экономика', 'республика']]"
289,"['древний', 'инк', ',', 'не', 'иметь', 'иной', 'система', 'письменность', ',', 'представлять', 'и', 'сохранять', 'числовой', 'данные', ',', 'использовать', 'сложный', 'система', 'верёвочный', 'узел', ',', 'так', 'называемый', 'кипу', '.']","[['сложный', 'система', 'верёвочный', 'узел', 'использоваться', 'древние', 'инк', 'в', 'период', 'пока', 'не', 'быть', 'развитой', 'письменность'], ['у', 'древний', 'инк', 'быть', 'система', 'для', 'хранение', 'число', 'и', 'запись', 'из', 'веревочныз', 'узел', '-', 'кипа'], ['древний', 'инк', 'использовать', 'система', 'узел', 'для', 'сохранение', 'цифровой', 'данные', '.']]"
290,"['другой', 'крайность', '—', 'употребление', 'термин', '«', 'финансы', '»', '(', 'без', 'уточняющий', 'прилагательное', ')', 'только', 'в', 'контекст', 'частный', 'сектор', 'экономика', '.']","[['другой', 'крайность', '-', 'это', 'финансы', ',', 'только', 'в', 'смысл', 'семейный', 'экономика']]"
291,"['другой', 'категория', 'раскрывать', 'свойство', 'и', 'состояние', 'бытие', ':', 'количество', ',', 'качество', ',', 'отношение', ',', 'место', ',', 'время', ',', 'обладание', ',', 'положение', ',', 'действие', ',', 'страдание', '.']","[['свойство', 'и', 'состояние', 'реальность', ',', 'который', 'существовать', 'независимо', 'от', 'сознание', 'человек', ',', 'раскрывать', 'другой', 'понятие', '.']]"
292,"['другой', 'сообщать', 'обратный', '—', 'что', 'в', 'период', 'пребывание', 'в', 'турция', 'дракула', 'не', 'подвергаться', 'ни', 'физический', ',', 'ни', 'психологический', 'насилие', 'со', 'сторона', 'турок', '.']","[['когда', 'дракула', 'быть', 'в', 'турция', 'он', 'не', 'подвергаться', 'никакой', 'насилие'], ['кое-кто', 'отрицать', 'физический', 'и', 'психологический', 'насилие', 'над', 'дракулый', 'в', 'турция', '.'], ['дракула', 'не', 'подвергаться', 'ни', 'физический', ',', 'ни', 'психологический', 'насилие', 'со', 'сторона', 'турок', ',', 'в', 'период', 'пребывание', 'в', 'турция', ',', 'об', 'это', 'сообщать', 'другой', 'источник', '.'], ['некоторый', 'источник', 'сообщать', ',', 'что', 'дракула', 'не', 'подвергаться', 'насилие', '.'], ['сказанный', ',', 'что', 'дракула', 'в', 'турция', 'не', 'подвергаться', 'насилие']]"
293,"['египет', 'быть', 'богатый', 'строительный', 'и', 'декоративный', 'камень', ',', 'медь', 'и', 'свинцовый', 'руда', ',', 'золото', 'и', 'полудрагоценный', 'камень', '.']","[['египет', 'быть', 'богатый', 'полезный', 'ископаемый', '.'], ['египет', 'богатый', 'строительный', 'камень', ',', 'медь', ',', 'золото', ',', 'свинцовый', 'руда', '.'], ['природный', 'богатство', 'египет', 'позволять', 'египтянин', 'развивать', 'строительство', ',', 'металлургия', ',', 'ювелирный', 'искусство', '.']]"
294,"['он', 'родитель', 'развестись', ',', 'когда', 'он', 'быть', 'ребёнок', '.']","[['он', 'быть', 'ребёнок', ',', 'когда', 'он', 'родитель', 'развестись', '.']]"
295,"['единство', 'необходимый', 'для', 'совместный', 'борьба', 'с', 'экстремизм', 'и', 'терроризм', ',', 'для', 'сохранение', 'мир', 'и', 'безопасность', 'в', 'регион', '.']","[['для', 'сохранение', 'мир', 'и', 'борьба', 'с', 'терроризм', 'необходимый', 'объединение', '.'], ['нужный', 'объединяться', 'для', 'борьба', 'с', 'терроризм', 'и', 'экстремизм', ',', 'для', 'тот', 'чтобы', 'сохранять', 'мир', 'в', 'регион', '.']]"
296,"['есть', 'в', 'этот', 'день', 'современный', 'американец', 'тот', 'же', 'самый', ',', 'что', 'есть', 'он', 'предок', 'в', '1621', 'год', 'на', 'первый', 'обед', 'в', 'честь', 'день', 'благодарение', '.']","[['в', 'день', 'благодарение', 'американец', 'есть', 'свой', 'традиционный', 'ехать', '.']]"
297,"['ежегодно', 'в', 'первый', 'воскресение', 'сентябрь', 'на', 'бородинский', 'поле', 'более', 'тысяча', 'участник', 'воссоздавать', 'эпизод', 'бородинский', 'сражение', 'в', 'ход', 'военно-исторический', 'реконструкция', '.']","[['каждый', 'первый', 'воскресение', 'сентябрь', 'на', 'бородинский', 'поле', 'проигрывать', 'бородинский', 'сражение', '.'], ['каждый', 'год', 'в', 'начало', 'сентябрь', 'на', 'бородинский', 'поле', 'проводить', 'военно-исторический', 'реконструкция', 'бородинский', 'сражение', '.'], ['ежегодно', 'в', 'первый', 'воскресение', 'сентябрь', 'на', 'бородинский', 'поле', 'проходить', 'военно-исторический', 'реконструкция', 'бородинский', 'сражение', '.', 'в', 'он', 'участвовать', 'большой', 'тысяча', 'человек', '.'], ['каждый', 'год', 'на', 'бородинский', 'поле', 'имитировать', 'процесс', 'бородинский', 'битва', '.'], ['более', 'тысяча', 'участник', 'воссоздавать', 'эпизод', 'бородинский', 'сражение', 'в', 'ход', 'военно-исторический', 'реконструкция', 'ежегодно', ',', 'в', 'первый', 'воскресение', 'сентябрь', 'на', 'бородинский', 'поле', '.']]"
298,"['если', 'бы', 'ось', 'вращение', 'земля', 'приблизиться', 'к', 'плоскость', 'эклиптика', ',', 'тот', 'в', 'результат', 'климат', 'на', 'планета', 'стать', 'бы', 'чрезвычайно', 'суровый', '.']","[['климат', 'на', 'планета', 'стать', 'бы', 'очень', 'суровый', ',', 'если', 'бы', 'ось', 'вращение', 'земля', 'приблизиться', 'к', 'большой', 'круг', 'небесный', 'сфера', '.'], ['если', 'бы', 'ось', 'вращение', 'земля', 'приблизиться', 'к', 'плоскость', 'земной', 'орбита', '(', 'к', 'плоскость', 'обращение', 'земля', 'вокруг', 'солнце', ')', ',', 'это', 'привести', 'бы', 'к', 'сильный', 'ухудшение', 'климат'], ['если', 'бы', 'земля', 'находиться', 'близкий', 'к', 'солнце', 'лето', ',', 'а', 'далёкий', 'зима', ',', 'тот', 'летний', 'месяц', 'быть', 'бы', 'жаркий', ',', 'а', 'зимний', 'холодный', '.'], ['если', 'бы', 'ось', 'вращение', 'земля', 'измениться', 'тот', 'климат', 'стать', 'суровый'], ['климат', 'на', 'земля', 'не', 'суровый', 'из-за', 'ось', 'вращение', 'земля']]"
299,"['если', 'игрок', 'переть', 'свой', 'очередь', 'ход', 'не', 'иметь', 'возможность', 'сделать', 'ни', 'один', 'ход', 'по', 'правило', ',', 'но', 'король', 'игрок', 'не', 'находиться', 'под', 'шах', ',', 'такой', 'ситуация', 'называться', 'пат', '.']","[['пат', '-', 'это', 'ситуация', ',', 'когда', 'игрок', 'не', 'мочь', 'сделать', 'ход', 'по', 'правило', 'и', 'он', 'король', 'не', 'находиться', 'под', 'угроза', 'шах', '.'], ['когда', 'игрок', 'не', 'мочь', 'сделать', 'ни', 'один', 'ход', ',', 'но', 'он', 'король', 'не', 'поставленный', 'шах', ',', 'тот', 'это', 'положение', 'называться', 'пат', '.'], ['пат', '-', 'это', ',', 'когда', 'король', 'игрок', 'не', 'находиться', 'под', 'шах', ',', 'но', 'сделать', 'ход', 'по', 'правило', 'нельзя', '.'], ['ситуация', 'называться', 'пат', ',', 'если', 'очередной', 'свой', 'ход', 'игрок', 'не', 'мочь', 'сделать', 'по', 'правило', 'и', 'король', 'игрок', 'не', 'находиться', 'под', 'шах', '.'], ['пат', '-', 'ситуация', ',', 'переть', 'который', 'король', 'не', 'находиться', 'под', 'шах', ',', 'но', 'игрок', 'не', 'мочь', 'сделать', 'ни', 'один', 'ход', '.']]"
300,"['если', 'нельзя', 'установить', ',', 'какой', 'фигура', 'быть', 'тронутый', 'первый', ',', 'считаться', ',', 'что', 'это', 'фигура', 'игрок', ',', 'за', 'который', 'очередь', 'ход', ',', 'а', 'не', 'он', 'партнёр', '.']","[['когда', 'фигура', 'быть', 'сдвинутый', 'неизвестный', 'кто', ',', 'тогда', 'считаться', 'что', 'это', 'фигура', 'игрок', ',', 'кто', 'должный', 'быть', 'ходить', 'следующий'], ['если', 'фигура', 'не', 'тронуть', ',', 'ход', 'зависеть', 'от', 'очередь', 'играющий', '.'], ['если', 'неизвестный', ',', 'какой', 'фигура', 'быть', 'тронутый', 'первый', ',', 'считаться', ',', 'что', 'это', 'фигура', 'тот', 'игрок', ',', 'который', 'должный', 'ходить', '.'], ['если', 'не', 'смочь', 'установить', ',', 'какой', 'фигура', 'съесть', 'первый', ',', 'тот', 'считать', 'он', 'за', 'фигура', 'игрок', 'чей', 'очередь', 'ходить']]"
301,"['если', 'оба', 'анализ', 'отрицательный', ',', 'тот', 'переть', 'отсутствие', 'другой', 'проявление', 'заболевание', ',', 'считаться', ',', 'что', 'человек', 'сифилис', 'не', 'больной', '.']","[['человек', 'сифилис', 'не', 'больной', ',', 'если', 'оба', 'анализ', 'на', 'сифилис', 'отрицательный', '.'], ['переть', 'два', 'отрицательный', 'анализ', 'и', 'если', 'нет', 'другой', 'симптом', 'болезнь', ',', 'считаться', 'что', 'человек', 'не', 'больной', 'сифилис'], ['человек', 'не', 'больной', 'сифилис', ',', 'если', 'сдать', 'два', 'анализ', 'и', 'оба', 'он', 'отрицательный', ',', 'и', 'если', 'нет', 'другой', 'симптом', 'это', 'заболевание', '.'], ['человек', 'не', 'больной', 'сифилис', ',', 'если', 'анализ', 'отрицательный', 'и', 'нет', 'другой', 'признак', 'болезнь', '.'], ['человек', 'не', 'больной', 'сифилис', ',', 'если', 'оба', 'анализ', 'отрицательный', ',', 'а', 'другой', 'симптом', 'нет', '.']]"
302,"['если', 'переть', 'импорт', 'пакет', 'вместо', 'псевдоним', 'указываться', 'точка', ',', 'тот', 'всё', 'экспортируемый', 'он', 'имя', 'быть', 'доступный', 'без', 'квалификация', '.']","[['если', 'переть', 'перенос', 'пакет', 'указать', 'точка', ',', 'тот', 'всё', 'переносимый', 'имя', 'стать', 'доступный', '.'], ['если', 'переть', 'ввоз', 'в', 'страна', 'не', 'указать', 'имя', ',', 'тот', 'нельзя', 'быть', 'обозначить', 'имя', 'переть', 'вывоз']]"
303,"['если', 'принимать', 'в', 'расчёт', 'второй', 'версия', ',', 'тот', 'первый', 'шайба', 'на', 'чемпионат', 'мир', 'харламов', 'провести', 'в', 'следующий', 'игра', 'против', 'швед', '.']","[['харламов', 'забить', 'первый', 'шайба', 'на', 'чемпионат', 'мир', 'в', 'игра', 'против', 'швед', '.'], ['по', 'второй', 'версия', ',', 'первый', 'шайба', 'на', 'чемпионат', 'мир', 'харламов', 'провести', 'в', 'игра', 'против', 'швед', '.']]"
304,"['если', 'сравнивать', 'с', 'женщина', ',', 'тот', 'мужчина', 'как', 'правило', 'склонный', 'выбирать', 'более', 'летальный', 'способ', 'самоубийство', '.']","[['мужчина', 'в', 'отличие', 'от', 'женщина', 'склонный', 'выбирать', 'более', 'жёсткий', 'способ', 'самоубийство', '.'], ['мужчина', ',', 'в', 'отличие', 'от', 'женщина', 'выбирать', 'более', 'летальный', 'способ', 'самоубийство', '.'], ['в', 'отличие', 'от', 'женщина', 'мужчина', 'предпочитать', 'способ', 'самоубийство', 'с', 'более', 'высокий', 'смертность', '.'], ['мужчина', 'частый', ',', 'что', 'женщина', 'кончать', 'жизнь', 'самоубийство', '.'], ['мужчина', 'частый', 'всего', 'выбирать', 'летальный', 'способ', 'самоубийство', '.']]"
